NEIGHBORHOOD,DATE,CURBSIDE RECYCLING (IN POUNDS),CURBSIDE GARBAGE (IN POUNDS),CURBSIDE RECYCLING RATE
SOUTH ABBOTT,05/31/2018,27.39,156.90,15
SOUTH ABBOTT,03/31/2018,20.09,94.00,18
SOUTH ABBOTT,09/30/2018,26.17,104.97,20
SOUTH ELLICOTT,03/31/2018,8.19,48.45,14
SOUTH ELLICOTT,01/31/2018,9.78,59.98,14
SOUTH ELLICOTT,12/31/2017,7.90,39.48,17
SOUTH ELLICOTT,08/31/2018,8.58,62.90,12
SOUTH ELLICOTT,02/28/2018,7.27,43.06,14
SOUTH ELLICOTT,04/30/2018,10.72,61.87,15
SOUTH ELLICOTT,05/31/2018,8.10,58.23,12
SOUTH ELLICOTT,11/30/2018,9.29,57.55,14
SOUTH ELLICOTT,09/30/2018,7.96,49.27,14
SOUTH ELLICOTT,10/31/2018,10.12,72.31,12
SOUTH ELLICOTT,07/31/2018,10.00,73.50,12
SOUTH ELLICOTT,06/30/2018,9.53,53.13,15
SOUTH PARK,02/28/2018,34.70,183.08,16
SOUTH PARK,12/31/2017,41.87,198.84,17
SOUTH PARK,04/30/2018,52.46,279.96,16
SOUTH PARK,06/30/2018,42.31,258.74,14
SOUTH PARK,01/31/2018,58.00,252.90,19
